algorithm,wall_density,num_guards,path_mean,path_std,nodes_mean,nodes_std,time_mean,replan_mean,pred_replan_mean,evade_mean,success
A*,0.15,0,29.066666666666666,0.3651483716701106,158.3,23.03692687838376,0.0007443100291614731,0.0,0.0,0.0,1.0
A*,0.15,2,40.266666666666666,15.382330511142417,726.5333333333333,563.093165154469,0.004389729963925977,4.6,4.6,1.8333333333333333,1.0
A*,0.15,4,48.96666666666667,24.208125357683798,1201.6666666666667,998.1602847353669,0.0074667333159595724,9.6,9.6,4.166666666666667,1.0
A*,0.15,6,65.16666666666667,33.29914913827879,2564.4,2306.1197085894796,0.01218884337383012,18.2,18.2,9.766666666666667,1.0
A*,0.25,0,29.266666666666666,0.6914918072835208,118.06666666666666,29.36915263395901,0.0005501933240642151,0.0,0.0,0.0,1.0
A*,0.25,2,49.733333333333334,50.00340218310207,1356.8,3595.462987787766,0.005832133356792232,11.466666666666667,11.466666666666667,2.3333333333333335,0.9666666666666667
A*,0.25,4,75.76666666666667,70.82941300848425,4100.866666666667,7707.607288876376,0.018735626619309186,22.133333333333333,22.133333333333333,10.066666666666666,0.9666666666666667
A*,0.25,6,88.76666666666667,75.30795778499856,4284.733333333334,5167.065070586799,0.018499250360764562,31.566666666666666,31.566666666666666,16.366666666666667,0.9666666666666667
A*,0.35,0,30.066666666666666,1.6386144974533723,86.3,22.25115262415519,0.00036718667640040317,0.0,0.0,0.0,1.0
A*,0.35,2,44.766666666666666,18.19185746868416,838.8666666666667,1043.327162406928,0.00411159322441866,5.466666666666667,5.466666666666667,2.6,1.0
A*,0.35,4,114.66666666666667,102.93296557614015,4735.2,5087.740724797071,0.019714943187621733,31.366666666666667,31.366666666666667,23.633333333333333,0.9333333333333333
A*,0.35,6,157.9,97.51510935093155,7446.7,6515.804770206692,0.035811340102615455,51.666666666666664,51.666666666666664,28.566666666666666,0.9
BFS,0.15,0,29.066666666666666,0.3651483716701106,251.73333333333332,6.147235618318721,0.0006182599890356262,0.0,0.0,0.0,1.0
BFS,0.15,2,35.5,6.537689141458534,1192.6666666666667,832.1596056018353,0.003584509971551597,4.4,4.4,0.9666666666666667,1.0
BFS,0.15,4,53.06666666666667,30.580513666254106,2851.266666666667,2595.1728390162793,0.007931306771934033,11.766666666666667,11.766666666666667,6.233333333333333,1.0
BFS,0.15,6,92.3,59.21157272719233,7864.033333333334,6555.427061936378,0.024084003440414867,31.033333333333335,31.033333333333335,16.6,1.0
BFS,0.25,0,29.266666666666666,0.6914918072835208,211.33333333333334,20.433801160945503,0.0004324033468340834,0.0,0.0,0.0,1.0
BFS,0.25,2,45.56666666666667,24.73122183260126,1615.3666666666666,2007.2641955095776,0.0037480199864755076,6.533333333333333,6.533333333333333,2.1666666666666665,1.0
BFS,0.25,4,64.6,44.70871241175753,5054.566666666667,7642.231889574078,0.01241137320175767,18.166666666666668,18.166666666666668,5.433333333333334,1.0
BFS,0.25,6,95.13333333333334,46.66515596897963,7849.833333333333,6124.685788328013,0.020347093294064204,31.966666666666665,31.966666666666665,18.666666666666668,1.0
BFS,0.35,0,30.066666666666666,1.6386144974533723,170.63333333333333,22.260965269112745,0.00038877333669612804,0.0,0.0,0.0,1.0
BFS,0.35,2,43.333333333333336,18.204458213596325,1239.2333333333333,1333.859726981952,0.003078139914820592,5.533333333333333,5.533333333333333,1.8,1.0
BFS,0.35,4,125.83333333333333,116.58357467952968,7612.0,8703.900397978545,0.01866623011107246,32.63333333333333,32.63333333333333,28.6,0.9666666666666667
BFS,0.35,6,177.56666666666666,106.55084049032838,11783.2,8533.308908280416,0.030532266874797643,50.13333333333333,50.13333333333333,42.666666666666664,0.9333333333333333
DFS,0.15,0,93.4,15.663707228428748,116.23333333333333,37.9570386306571,0.00027213997673243285,0.0,0.0,0.0,1.0
DFS,0.15,2,150.5,88.33664058003065,1844.0,1984.5790659395552,0.005038296687416732,11.933333333333334,11.933333333333334,4.666666666666667,1.0
DFS,0.15,4,148.86666666666667,76.7206007191852,2754.266666666667,2195.6474802370403,0.008088359865359962,18.966666666666665,18.966666666666665,10.033333333333333,1.0
DFS,0.15,6,214.9,108.76115876162967,8129.966666666666,6296.607063815557,0.023234836764944096,45.2,45.2,25.733333333333334,0.9
DFS,0.25,0,71.8,15.416963339798455,112.2,43.525973220912434,0.00031437001501520475,0.0,0.0,0.0,1.0
DFS,0.25,2,103.86666666666666,57.230166468594064,1490.6,2006.4222507428146,0.004095079912804067,9.8,9.8,2.433333333333333,1.0
DFS,0.25,4,172.86666666666667,117.64257185493558,4407.733333333334,4583.340236065858,0.013045589819860955,27.2,27.2,13.066666666666666,0.9333333333333333
DFS,0.25,6,211.8,118.71856026638858,8574.233333333334,7792.807402954356,0.0314406032829235,50.8,50.8,26.866666666666667,0.8333333333333334
DFS,0.35,0,56.4,11.31553707564713,92.9,31.388939409310716,0.00022574000370999178,0.0,0.0,0.0,1.0
DFS,0.35,2,120.63333333333334,110.11952231735434,3104.1666666666665,5731.150622172041,0.008245553316858908,16.966666666666665,16.966666666666665,7.333333333333333,0.9333333333333333
DFS,0.35,4,179.46666666666667,129.54981290217484,6517.5,7285.80804100306,0.017271783373629054,40.13333333333333,40.13333333333333,18.433333333333334,0.9333333333333333
DFS,0.35,6,277.03333333333336,116.44133740846188,12404.733333333334,8238.662470677333,0.03337768333343168,65.26666666666667,65.26666666666667,45.63333333333333,0.7333333333333333
GA,0.15,0,39.4,4.08191976470842,213.33333333333334,255.00957836416904,0.016835103323683143,0.0,0.0,0.0,1.0
GA,0.15,2,46.6,11.737355632397755,15317.333333333334,29280.412533994793,0.6415668633533642,4.033333333333333,4.033333333333333,1.3,1.0
GA,0.15,4,58.06666666666667,32.46741956690327,65282.666666666664,113066.4292667211,2.6594157533021643,9.066666666666666,9.066666666666666,5.666666666666667,1.0
GA,0.15,6,76.73333333333333,30.05733983839754,176461.33333333334,130228.62558707612,7.134332593227737,18.533333333333335,18.533333333333335,13.833333333333334,1.0
GA,0.25,0,39.733333333333334,3.768593749739379,970.6666666666666,2144.9522675073817,0.04588257997917632,0.0,0.0,0.0,1.0
GA,0.25,2,58.36666666666667,33.55128173031734,76690.66666666667,159000.45228591785,2.8927734333556145,5.033333333333333,5.033333333333333,3.033333333333333,1.0
GA,0.25,4,70.23333333333333,31.00131624940145,136960.0,148188.05722273397,5.439037840014013,12.033333333333333,12.033333333333333,8.066666666666666,1.0
GA,0.25,6,134.86666666666667,116.87002309767283,477208.0,672555.4237815134,18.038235163362696,24.933333333333334,24.933333333333334,20.4,0.9333333333333333
GA,0.35,0,38.93333333333333,4.770117712227419,3226.6666666666665,4594.945749057501,0.13397768332312504,0.0,0.0,0.0,1.0
GA,0.35,2,101.76666666666667,126.57086970338499,351357.3333333333,779915.9578372502,12.89995933660927,6.7,6.7,5.733333333333333,0.9333333333333333
GA,0.35,4,237.53333333333333,174.00866671506344,1056450.6666666667,1006756.6864182309,40.208295626565814,30.133333333333333,30.133333333333333,31.166666666666668,0.6666666666666666
GA,0.35,6,239.3,147.43114114497772,1119352.0,948717.800556316,46.341613876447084,36.7,36.7,39.43333333333333,0.7333333333333333
